Order ID,Category,Amount,ship-state,Qty
407-5766340-7411567,kurta,399.0,GUJARAT,1
408-2759943-9849959,Set,1338.0,WEST BENGAL,1
408-9321153-0591557,kurta,399.0,KARNATAKA,1
407-6146457-8788352,Western Dress,725.0,BIHAR,1
407-1515930-8661921,Set,1099.0,WEST BENGAL,1
407-0994909-4122733,kurta,696.0,RAJASTHAN,1
402-7042386-5486768,kurta,363.0,TAMIL NADU,1
403-7652993-1507525,Set,631.0,ODISHA,1
407-3847456-6656309,Set,1115.0,BIHAR,1
407-3847456-6656309,Set,968.0,BIHAR,1
171-7623384-8040337,kurta,486.0,MAHARASHTRA,1
171-7623384-8040337,Set,597.0,MAHARASHTRA,1
404-6783988-2006729,Set,597.0,TAMIL NADU,1
402-5586272-3646748,Set,1065.0,UTTARAKHAND,1
171-6655820-6440356,Set,2130.0,MAHARASHTRA,2
402-0150402-0900371,Western Dress,721.0,MADHYA PRADESH,1
408-6791822-5493964,Set,968.0,UTTAR PRADESH,1
405-0483874-0889137,Set,563.0,UTTAR PRADESH,1
407-5124083-2725136,Set,682.0,UTTAR PRADESH,1
407-4766116-5412325,kurta,399.0,HIMACHAL PRADESH,1
402-6885004-6990731,Set,626.0,TAMIL NADU,1
402-2207276-9869933,Set,1140.0,TELANGANA,1
407-9494293-9423561,kurta,486.0,JAMMU & KASHMIR,1
171-6867266-8495534,Set,597.0,KARNATAKA,1
408-3475592-6193128,kurta,399.0,KARNATAKA,1
171-1987024-2709164,Set,660.0,ANDHRA PRADESH,1
406-1522425-5387565,kurta,459.0,TELANGANA,1
171-3270734-5045130,Set,631.0,DELHI,1
403-9400764-4029123,Set,852.0,KARNATAKA,1
406-8413944-2634744,kurta,353.0,TELANGANA,1
406-8271099-5133911,kurta,345.0,KARNATAKA,1
406-8271099-5133911,kurta,329.0,KARNATAKA,1
405-3441326-1516368,Top,518.0,WEST BENGAL,1
408-8009772-6580317,Top,387.0,WEST BENGAL,1
402-2860689-5652319,Western Dress,744.0,MADHYA PRADESH,1
408-9720884-9553122,kurta,487.0,ODISHA,1
408-8641795-6914711,Top,563.0,HARYANA,1
402-9475978-1434754,Western Dress,859.0,ANDHRA PRADESH,1
407-5776821-9327552,Set,1133.0,MAHARASHTRA,1
171-6845071-0336346,Set,788.0,MAHARASHTRA,1
404-7491342-1035558,Set,1463.0,MAHARASHTRA,1
171-6783343-9758701,kurta,399.0,PUNJAB,1
405-6120626-0941135,Set,657.0,KARNATAKA,1
408-9255314-3102740,Set,1133.0,MAHARASHTRA,1
408-3436456-9893130,kurta,399.0,MAHARASHTRA,1
408-3870331-6287517,kurta,399.0,UTTARAKHAND,1
408-3870331-6287517,kurta,399.0,UTTARAKHAND,1
403-2920089-2403567,Top,487.0,TAMIL NADU,1
406-7792526-4685142,Set,563.0,TELANGANA,1
406-7680255-6117120,kurta,399.0,TELANGANA,1
405-1757140-2025918,kurta,432.0,MADHYA PRADESH,1
403-9105351-8453114,kurta,399.0,UTTARAKHAND,1
402-0503400-6235514,Set,736.0,TAMIL NADU,1
408-3201739-2676310,Set,1260.0,MAHARASHTRA,1
171-8027093-8553945,kurta,399.0,UTTARAKHAND,1
403-3331597-7637100,Set,1133.0,ODISHA,1
403-4424319-6635501,Set,759.0,GOA,1
406-7261451-5682727,Western Dress,744.0,KARNATAKA,1
402-6566640-5417947,Western Dress,771.0,TELANGANA,1
171-1425554-3718756,Western Dress,744.0,KARNATAKA,1
407-9906412-0889129,kurta,376.0,WEST BENGAL,1
408-8991303-6559523,kurta,399.0,TAMIL NADU,1
408-6046797-8945127,Set,599.0,WEST BENGAL,1
171-2134173-5385136,kurta,782.0,KARNATAKA,1
171-2134173-5385136,kurta,362.0,KARNATAKA,1
402-2155477-9353103,Set,1173.0,ODISHA,1
402-1572540-8678700,Western Dress,725.0,WEST BENGAL,1
171-1887627-9813158,kurta,376.0,ANDHRA PRADESH,1
404-8745561-3169903,kurta,379.0,UTTAR PRADESH,1
404-1508602-9433941,Set,696.0,WEST BENGAL,1
171-9371949-6030721,Set,597.0,WEST BENGAL,1
171-2705563-6985105,Set,692.0,NAGALAND,1
171-3537751-4007556,Set,1999.0,ANDHRA PRADESH,1
408-5990312-3581165,Set,824.0,PUDUCHERRY,1
403-6062596-1220349,kurta,399.0,GOA,1
171-8220241-5105927,kurta,737.0,KARNATAKA,1
408-9405529-3743511,kurta,399.0,TELANGANA,1
407-3271219-3762757,kurta,368.0,MAHARASHTRA,1
171-3953233-6135505,kurta,399.0,UTTAR PRADESH,1
402-5525660-2118707,kurta,376.0,TAMIL NADU,1
171-1297873-2176339,kurta,499.0,TELANGANA,1
407-6401192-4057954,Top,426.0,KARNATAKA,1
406-3397500-8084361,kurta,399.0,KARNATAKA,1
402-8089760-1132331,Set,995.0,DELHI,1
403-7042175-3905937,kurta,499.0,WEST BENGAL,1
403-7042175-3905937,kurta,499.0,WEST BENGAL,1
407-4629176-4141949,Set,597.0,MAHARASHTRA,1
171-7306449-0588335,kurta,562.0,DELHI,1
407-1396965-6726703,kurta,696.0,BIHAR,1
407-0624641-6557144,Set,788.0,TELANGANA,1
405-8444009-8723509,kurta,399.0,DELHI,1
406-5729580-2175565,Set,1099.0,WEST BENGAL,1
404-2255967-5457950,Set,476.0,TELANGANA,1
404-7608918-0571517,Set,654.0,JAMMU & KASHMIR,1
171-6589781-2209965,Western Dress,625.0,MAHARASHTRA,1
405-3071731-6600369,kurta,563.0,KERALA,1
408-3137526-3167563,kurta,0.0,WEST BENGAL,1
408-5211576-2061139,Set,1099.0,JHARKHAND,1
406-9632792-8869139,kurta,353.0,KARNATAKA,1
405-5166820-2566738,Set,563.0,KARNATAKA,1
405-8932002-4271522,Set,788.0,TELANGANA,1
404-1855398-2642751,Set,654.0,BIHAR,1
408-0912805-7526753,Set,0.0,MAHARASHTRA,1
402-2403704-9667560,kurta,399.0,TELANGANA,1
405-2569549-3466719,Set,696.0,UTTAR PRADESH,1
405-2822825-3877133,Set,1112.0,UTTAR PRADESH,1
171-5222377-4501935,kurta,517.0,ANDHRA PRADESH,1
171-2644368-7969167,Set,888.0,ANDHRA PRADESH,1
171-2644368-7969167,Set,1463.0,ANDHRA PRADESH,1
171-2644368-7969167,kurta,399.0,ANDHRA PRADESH,1
171-2644368-7969167,kurta,442.0,ANDHRA PRADESH,1
171-2644368-7969167,Set,1149.0,ANDHRA PRADESH,1
171-2644368-7969167,Ethnic Dress,845.0,ANDHRA PRADESH,1
171-1758807-7455529,Set,788.0,WEST BENGAL,1
408-8224264-0017161,Set,788.0,DELHI,1
408-6529937-6381928,Set,654.0,GOA,1
407-2028379-9672355,kurta,518.0,TAMIL NADU,1
402-9221687-4573915,Set,626.0,TELANGANA,1
405-2668017-2013957,kurta,534.0,UTTAR PRADESH,1
408-3337319-8990747,kurta,475.0,GUJARAT,1
407-1256885-2004349,kurta,549.0,ODISHA,1
404-3723311-1030756,kurta,518.0,TAMIL NADU,1
404-0532727-2082745,Set,1499.0,TELANGANA,1
403-8966287-7773106,kurta,363.0,KARNATAKA,1
408-1512444-4965152,kurta,399.0,BIHAR,1
171-9451879-3651542,kurta,487.0,WEST BENGAL,1
408-5190897-8781155,Top,487.0,MAHARASHTRA,1
403-3109934-4911514,Set,597.0,ANDHRA PRADESH,1
407-0718034-7893108,Set,654.0,UTTAR PRADESH,1
404-0752237-5721965,Set,597.0,TELANGANA,1
403-4673019-6572340,kurta,471.0,MADHYA PRADESH,1
404-3622512-3887551,Western Dress,744.0,ASSAM,1
406-6906315-9570765,kurta,399.0,TAMIL NADU,1
408-2593644-6317933,Set,835.0,KARNATAKA,1
405-7398388-2654744,Western Dress,899.0,JHARKHAND,1
405-5066690-4132337,kurta,406.0,KARNATAKA,1
408-6466311-6949931,Set,0.0,UTTAR PRADESH,1
406-7625210-8793109,Set,789.0,TAMIL NADU,1
406-8665288-2025908,Saree,620.0,DELHI,1
405-9930530-1209919,kurta,499.0,MADHYA PRADESH,1
407-0288006-5535531,Western Dress,807.0,TELANGANA,1
403-6363820-3080315,Set,666.0,PUDUCHERRY,1
408-7937211-8974712,Set,0.0,MAHARASHTRA,1
407-4283259-6933941,kurta,329.0,TAMIL NADU,1
408-6348199-2089932,Set,0.0,JHARKHAND,1
406-0673842-3693910,kurta,399.0,KARNATAKA,1
405-0722232-7258752,kurta,487.0,MADHYA PRADESH,1
408-0224364-7467540,Set,1033.0,DELHI,1
408-2445040-0957913,Top,625.0,KARNATAKA,1
406-8412164-3153129,Top,432.0,MAHARASHTRA,1
407-7757868-6086759,Set,1115.0,DELHI,1
171-5065107-7793119,kurta,511.0,UTTAR PRADESH,1
403-0216195-8439543,Set,599.0,ODISHA,1
402-9874837-4557125,Top,545.0,MAHARASHTRA,1
408-8892348-9765950,kurta,353.0,MAHARASHTRA,1
408-6417023-0253911,Set,563.0,MAHARASHTRA,1
407-4004149-2857161,Top,487.0,MAHARASHTRA,1
404-6408992-6781106,kurta,352.0,TAMIL NADU,1
407-9345273-2408359,kurta,376.0,TAMIL NADU,1
405-9737320-3923530,Set,1133.0,GOA,1
402-7908398-5262750,Set,684.0,MANIPUR,1
405-9000587-4386763,kurta,399.0,MAHARASHTRA,1
405-9000587-4386763,kurta,399.0,MAHARASHTRA,1
403-8206114-6438765,Set,788.0,WEST BENGAL,1
403-9844758-9663515,Set,654.0,MAHARASHTRA,1
402-1037282-5400318,kurta,399.0,MAHARASHTRA,1
408-2311178-4563550,Set,874.0,TELANGANA,1
406-9476969-2801163,kurta,399.0,KARNATAKA,1
403-2867551-8904322,Western Dress,744.0,KARNATAKA,1
407-0133690-8157926,kurta,499.0,GUJARAT,1
402-9688522-2179563,kurta,376.0,ANDHRA PRADESH,1
404-7977517-7125147,kurta,486.0,KARNATAKA,1
403-4009455-2766717,kurta,399.0,RAJASTHAN,1
406-9811989-3946709,kurta,424.0,MAHARASHTRA,1
408-9628391-5712365,Top,599.0,PUNJAB,1
408-1587720-2667552,Set,597.0,WEST BENGAL,1
171-5980259-5726757,Top,487.0,TELANGANA,1
408-3468189-1632369,kurta,487.0,TAMIL NADU,1
402-8199412-5613164,Set,1099.0,MADHYA PRADESH,1
406-8049367-7383569,Set,654.0,HARYANA,1
404-4084311-5014713,kurta,329.0,TELANGANA,1
404-3973098-9107502,Set,1186.0,ODISHA,1
404-8364446-3952321,Western Dress,588.0,ANDHRA PRADESH,1
408-2058872-0942730,kurta,329.0,ANDHRA PRADESH,1
408-2058872-0942730,kurta,259.0,ANDHRA PRADESH,1
404-5141245-7726736,kurta,487.0,ANDHRA PRADESH,1
171-6816175-3049154,Set,626.0,ANDHRA PRADESH,1
407-1271803-1705135,Top,518.0,UTTAR PRADESH,1
408-0666162-2209142,Ethnic Dress,899.0,RAJASTHAN,1
404-8344681-3468344,Western Dress,807.0,UTTAR PRADESH,1
405-2729845-2846741,Set,653.0,KARNATAKA,1
407-7312276-7007540,Set,1140.0,DELHI,1
407-7361111-8973957,Set,1260.0,UTTAR PRADESH,1
406-2349830-7633129,Set,909.0,TELANGANA,1
404-5682813-1706729,Set,968.0,DELHI,1
171-0355946-6502712,Set,788.0,MAHARASHTRA,1
405-5141255-1451535,Western Dress,771.0,WEST BENGAL,1
402-4712282-7084353,kurta,399.0,MAHARASHTRA,1
408-4929717-0247504,Set,888.0,ANDHRA PRADESH,1
408-4929717-0247504,Set,1221.0,ANDHRA PRADESH,1
407-0903946-2097158,kurta,399.0,KERALA,1
404-2227887-7441969,Set,545.0,MAHARASHTRA,1
407-8016372-7101131,Set,968.0,UTTAR PRADESH,1
407-2520173-9985116,kurta,499.0,GUJARAT,1
407-3257788-4892350,kurta,399.0,ANDHRA PRADESH,1
408-7201398-0382766,kurta,399.0,GUJARAT,1
408-1221783-1443515,Set,1112.0,MAHARASHTRA,1
406-6993846-8855562,Set,1338.0,UTTARAKHAND,1
405-5018129-4536368,kurta,517.0,KARNATAKA,1
406-3787864-1268330,kurta,329.0,MAHARASHTRA,1
171-8504713-0689107,Western Dress,725.0,UTTAR PRADESH,1
402-9564773-1029157,kurta,363.0,RAJASTHAN,1
405-4930362-9342759,Set,666.0,ODISHA,1
408-9182064-6638723,Set,449.0,TAMIL NADU,1
171-9163388-0505130,Set,696.0,WEST BENGAL,1
171-4737030-9245958,kurta,459.0,HIMACHAL PRADESH,1
404-0489249-5004350,Set,654.0,UTTAR PRADESH,1
402-5795462-7785129,kurta,399.0,MAHARASHTRA,1
402-1771710-8988341,Set,595.0,TAMIL NADU,1
407-8782240-5186712,Set,597.0,MAHARASHTRA,1
406-1146171-5116306,Set,582.0,DELHI,1
405-4454054-5598720,Set,612.0,MAHARASHTRA,1
405-0904566-9930731,Set,654.0,UTTAR PRADESH,1
404-5926144-0737167,Set,820.0,MADHYA PRADESH,1
407-0010438-9058746,Set,801.0,UTTAR PRADESH,1
171-6907664-7672347,kurta,399.0,MAHARASHTRA,1
404-0072596-3665116,Top,540.0,KERALA,1
406-8833813-9606757,Set,1338.0,KERALA,1
408-3892272-6235562,Top,540.0,WEST BENGAL,1
171-9584070-4172351,Top,625.0,TELANGANA,1
404-5137687-4471546,kurta,429.0,CHHATTISGARH,1
404-1694926-5861958,Set,1126.0,ODISHA,1
402-5767256-6281114,Set,788.0,KARNATAKA,1
403-3410267-0750719,Top,432.0,MAHARASHTRA,1
403-9122678-2549117,kurta,376.0,TELANGANA,1
402-7676083-2016323,Western Dress,725.0,TELANGANA,1
404-7830524-8312347,Western Dress,744.0,TELANGANA,1
408-7154712-8009957,kurta,399.0,TAMIL NADU,1
402-6250862-8853945,Set,1213.0,TRIPURA,1
406-0002738-2742749,Set,680.0,RAJASTHAN,1
402-7304691-3952343,Set,939.0,TELANGANA,1
407-6959497-7065133,Top,279.0,KARNATAKA,1
406-0117804-3287554,kurta,487.0,JHARKHAND,1
407-9183800-1013951,kurta,458.0,GUJARAT,1
405-0930056-6437111,kurta,692.0,UTTAR PRADESH,1
405-7472210-7516334,Top,469.0,TELANGANA,1
408-4366006-6437145,kurta,399.0,UTTAR PRADESH,1
403-3676854-5721945,Set,599.0,UTTAR PRADESH,1
408-6618566-0057120,Set,680.0,KARNATAKA,1
406-3015774-3032307,Saree,989.0,GUJARAT,1
402-7386453-2621962,Western Dress,588.0,MAHARASHTRA,1
402-1304000-3677964,kurta,487.0,TELANGANA,1
403-7294367-8346767,Set,653.0,ANDHRA PRADESH,1
403-7294367-8346767,Set,496.0,ANDHRA PRADESH,1
406-3069661-8992322,kurta,319.0,UTTAR PRADESH,1
405-2853362-9249968,Set,1112.0,KARNATAKA,1
408-5685967-2798764,kurta,517.0,UTTAR PRADESH,1
407-1521483-6236364,Set,597.0,TAMIL NADU,1
407-3192826-3199543,Set,1099.0,PUNJAB,1
405-6680529-6046716,kurta,375.0,DELHI,1
407-3789221-2643524,kurta,517.0,TAMIL NADU,1
171-0201364-0214715,Set,692.0,RAJASTHAN,1
404-5782230-8762723,kurta,486.0,MAHARASHTRA,1
408-7009060-8830716,Set,1115.0,KERALA,1
402-3663529-2350713,Set,597.0,UTTAR PRADESH,1
406-6439645-8186752,Set,1115.0,MANIPUR,1
171-2628906-0061939,kurta,459.0,DELHI,1
406-3009249-7653118,kurta,486.0,ANDHRA PRADESH,1
171-6395980-8828309,kurta,568.0,ANDHRA PRADESH,1
402-7913336-9467565,Set,995.0,UTTAR PRADESH,1
408-9019983-8862750,Set,635.0,DELHI,1
405-1990663-9192363,kurta,399.0,UTTARAKHAND,1
403-5876876-0701925,kurta,363.0,TAMIL NADU,1
406-7955475-7819507,kurta,458.0,KARNATAKA,1
405-6675358-3715504,Set,597.0,MAHARASHTRA,1
171-7920358-6691543,Set,597.0,KARNATAKA,1
408-7616878-8551517,Set,801.0,PUNJAB,1
407-2512537-5717124,kurta,393.0,KARNATAKA,1
406-3257301-5556318,Western Dress,744.0,TAMIL NADU,1
402-7784273-3159533,Top,540.0,RAJASTHAN,1
403-9745522-7408318,Set,696.0,ODISHA,1
405-7523500-6097912,Top,512.0,WEST BENGAL,1
171-0947491-1860302,Set,922.0,MAHARASHTRA,1
407-9614308-2636322,Set,818.0,ANDHRA PRADESH,1
171-6153595-4758722,Set,2224.0,MAHARASHTRA,2
402-0721169-8180327,Set,1112.0,WEST BENGAL,1
406-9129776-9779513,Set,792.0,HIMACHAL PRADESH,1
406-4276465-0364334,Set,824.0,DELHI,1
406-0038568-0852338,Set,759.0,WEST BENGAL,1
403-5684700-6277902,Western Dress,744.0,TELANGANA,1
403-2561797-6193141,Set,1140.0,WEST BENGAL,1
406-4980665-9833930,Western Dress,625.0,TELANGANA,1
171-0983521-4425145,Western Dress,744.0,TELANGANA,1
403-5847066-2369918,Set,1112.0,UTTAR PRADESH,1
404-9771516-3764302,Set,1140.0,WEST BENGAL,1
405-0534257-8109938,kurta,486.0,DELHI,1
406-6474243-1265115,Set,666.0,LADAKH,1
408-5947919-3506726,Top,512.0,MAHARASHTRA,1
408-6114783-6199528,Western Dress,377.0,UTTAR PRADESH,1
408-6114783-6199528,Western Dress,377.0,UTTAR PRADESH,1
404-2255125-4533134,Set,967.0,TAMIL NADU,1
405-3785331-3948333,Set,597.0,TELANGANA,1
404-8711304-7038702,Set,1112.0,TELANGANA,1
402-6464284-9643538,Set,1213.0,UTTAR PRADESH,1
405-7534473-2900341,kurta,517.0,ODISHA,1
171-0362861-1228360,kurta,568.0,ANDHRA PRADESH,1
404-5775216-5570767,kurta,476.0,RAJASTHAN,1
408-2784061-1695540,kurta,486.0,HIMACHAL PRADESH,1
403-8794854-0523518,kurta,517.0,TELANGANA,1
405-8314081-3929157,kurta,376.0,TELANGANA,1
408-5094125-1397968,Set,715.0,DELHI,1
402-6569321-5308311,Set,1065.0,MAHARASHTRA,1
406-5828889-4813915,Western Dress,744.0,UTTAR PRADESH,1
402-4832715-9188334,kurta,399.0,WEST BENGAL,1
408-7275140-3593905,Western Dress,744.0,MAHARASHTRA,1
405-7907546-1330739,kurta,329.0,DADRA AND NAGAR,1
171-5431988-8713937,kurta,459.0,MAHARASHTRA,1
171-6687746-4020351,Set,888.0,UTTAR PRADESH,1
403-3045245-2207560,kurta,376.0,DELHI,1
